array_size,comparisons,swaps
100,725,540
100,757,580
100,689,526
100,686,521
100,719,544
100,801,594
100,734,538
100,779,595
100,711,534
100,779,586
100,704,508
100,711,518
100,745,556
100,722,549
100,691,511
100,702,539
100,663,497
100,681,521
100,705,538
100,806,598
100,512,390
100,752,575
100,816,615
100,795,593
100,706,514
100,792,601
100,804,604
100,769,573
100,773,586
100,761,573
100,833,642
100,767,573
100,619,467
100,612,461
100,688,527
100,835,652
100,798,606
100,713,535
100,762,585
100,786,600
100,652,494
100,764,585
100,795,603
100,732,567
100,679,514
100,754,588
100,763,598
100,706,524
100,411,309
100,707,533
100,793,588
100,726,551
100,747,566
100,764,566
100,743,575
100,702,524
100,697,530
100,691,531
100,724,566
100,831,646
100,768,577
100,717,540
100,689,526
100,745,579
100,741,577
100,711,561
100,696,527
100,678,498
100,752,586
100,760,589
100,694,524
100,701,525
100,733,549
100,745,549
100,659,495
100,832,647
100,700,532
100,676,524
100,754,579
100,643,490
100,738,546
100,708,546
100,542,422
100,749,570
100,672,522
100,776,588
100,695,537
100,702,548
100,705,543
100,725,557
100,704,530
100,812,623
100,731,562
100,703,535
100,731,563
100,720,547
100,674,522
100,707,530
100,736,559
100,722,540
200,1560,1193
200,1412,1064
200,1381,1042
200,1488,1113
200,1538,1150
200,1500,1140
200,1620,1213
200,1641,1249
200,1561,1193
200,1545,1184
200,1491,1124
200,1453,1131
200,1586,1209
200,1574,1166
200,1501,1148
200,1634,1214
200,1602,1216
200,1581,1186
200,1574,1206
200,1544,1155
200,1473,1110
200,1522,1167
200,1498,1148
200,1557,1190
200,1679,1269
200,1514,1157
200,1505,1153
200,1481,1111
200,1685,1288
200,1559,1174
200,1475,1109
200,1527,1173
200,1469,1139
200,1554,1188
200,1654,1251
200,1533,1186
200,1681,1307
200,1574,1201
200,1557,1182
200,1467,1111
200,1483,1131
200,1454,1113
200,1480,1107
200,1394,1066
200,1559,1184
200,1515,1180
200,1534,1172
200,1630,1225
200,1623,1255
200,1507,1138
200,1588,1207
