array_size,comparisons,swaps
400,3652,2280
400,3677,2342
400,3050,1920
400,3504,2213
400,3600,2265
400,3657,2310
400,3541,2239
400,3443,2173
400,3190,2056
400,3411,2117
400,3659,2318
400,3322,2135
400,3357,2138
500,4774,3018
500,4285,2700
500,4820,3024
500,4073,2539
500,4638,2878
500,4671,2937
500,3882,2417
500,4612,2839
500,4592,2930
500,4766,2993
500,4759,3010
500,4682,2908
500,3867,2451
500,4667,2921
500,4770,3003
500,4295,2711
500,3867,2425
500,4340,2757
500,4540,2878
500,4676,2950
500,4615,2894
500,4381,2752
500,4580,2879
500,4630,2938
500,4652,2950
500,4661,2918
500,4395,2750
500,4341,2800
500,4841,3032
500,4577,2912
500,4474,2861
500,4491,2819
500,4267,2680
500,4475,2843
500,4780,3046
500,4503,2839
500,4281,2680
500,4509,2856
500,4487,2871
500,4638,2960
500,4622,2893
500,3692,2348
500,4690,2942
500,4529,2837
500,4618,2880
500,4706,2980
500,4668,2933
500,4778,3032
500,3824,2387
500,4742,2972
500,4842,3044
500,4772,2976
500,4569,2882
500,4488,2832
500,4453,2842
500,4612,2961
500,4838,3057
500,4615,2883
500,4521,2880
500,4479,2852
500,3726,2351
500,4408,2843
500,3904,2485
500,4198,2660
500,4557,2893
500,4524,2868
500,4734,2952
500,4616,2933
500,4518,2881
500,4478,2831
500,4330,2766
500,4401,2762
500,4508,2885
500,4167,2623
500,4585,2872
500,4757,3011
500,4464,2853
500,4782,3002
500,4158,2594
500,4277,2731
500,4469,2884
500,4404,2809
500,4668,2952
500,4485,2807
500,4582,2871
500,4592,2868
500,4540,2858
500,3995,2545
500,4624,2939
500,4294,2759
500,4486,2856
500,4231,2649
500,4540,2860
500,4495,2876
600,5719,3577
600,5608,3515
600,5398,3432
600,5760,3659
600,5542,3523
600,4599,2940
600,5482,3464
600,5612,3525
600,5502,3464
600,5858,3694
600,4994,3145
600,5906,3722
600,5688,3593
600,5816,3623
600,4782,3009
600,5367,3415
600,4742,2982
600,4813,3078
600,5905,3676
600,5499,3438
600,5539,3486
600,5906,3781
600,5645,3555
600,5438,3449
600,5455,3461
600,5519,3501
600,5677,3548
600,4925,3112
600,5426,3417
600,5286,3332
600,5608,3527
600,5760,3636
600,5374,3424
600,4684,2928
600,5270,3325
600,5613,3496
600,5062,3185
600,5372,3431
600,5418,3489
600,5473,3428
600,4821,3088
600,5581,3527
600,5204,3254
600,5309,3331
600,5847,3742
600,5763,3638
600,5363,3391
600,5077,3210
600,5268,3338
600,5607,3526
600,4855,3099
600,5470,3462
600,5618,3571
600,5363,3469
600,5344,3390
600,5540,3496
600,5494,3516
600,5464,3505
600,4802,3033
600,5402,3365
600,5671,3586
600,5124,3244
600,4962,3087
600,5580,3533
600,5168,3251
600,5649,3619
600,5134,3241
600,5374,3357
600,5457,3431
600,5055,3166
600,5676,3562
600,5222,3326
600,5171,3267
600,5336,3398
600,5373,3458
600,5269,3293
600,5825,3682
600,5656,3644
600,5340,3367
600,5086,3259
600,5629,3541
600,5621,3597
600,5236,3320
600,5383,3418
600,4961,3157
600,4596,2954
600,5523,3546
600,5544,3529
600,5176,3242
600,5609,3605
600,5806,3700
600,5644,3507
600,5582,3541
600,5196,3318
600,5411,3426
600,5641,3554
600,5523,3550
600,5557,3572
600,5603,3526
600,5636,3569
700,5987,3759
700,6818,4350
700,6672,4212
700,6582,4160
700,6652,4136
700,6700,4209
700,6725,4213
700,6302,3945
700,6754,4278
700,6742,4242
700,6713,4252
700,6819,4311
700,6666,4162
700,6864,4227
700,6604,4188
700,5590,3473
700,6655,4196
700,6303,3953
700,7014,4377
700,6887,4338
700,6396,4056
700,6537,4124
700,6691,4167
700,6847,4326
700,6719,4225
700,6555,4114
700,6368,4007
700,6036,3791
700,6243,3964
700,6525,4091
700,5921,3734
700,6593,4192
700,5590,3554
700,5830,3681
700,6735,4225
700,6517,4115
700,6307,3985
700,6871,4288
700,6416,4061
700,6150,3906
700,6262,3947
700,6543,4112
700,5632,3550
700,6471,4106
700,6457,4073
700,6559,4109
700,6254,3925
700,6253,3980
700,6242,3967
700,6271,4013
700,6137,3873
700,6678,4269
700,6703,4255
700,6550,4130
700,6215,3982
700,6510,4116
700,6949,4389
700,6802,4236
700,6587,4200
700,6779,4285
700,5345,3403
700,6525,4101
700,6791,4287
700,6641,4184
700,6654,4234
700,6934,4346
700,6254,3980
700,6635,4228
700,6698,4210
700,5587,3583
700,6615,4173
700,6120,3844
700,5616,3559
700,6499,4092
700,6578,4102
700,6628,4190
700,6489,4137
700,6851,4295
700,6774,4243
700,5651,3526
700,6674,4223
700,5711,3657
700,5265,3374
700,6593,4203
700,5945,3807
700,5898,3743
700,6297,3964
700,6725,4286
700,6217,3919
700,6664,4277
700,6522,4069
700,6683,4232
700,6720,4274
700,6381,4030
700,6415,4049
700,6252,3986
700,6511,4161
700,6676,4248
700,6180,3931
800,6736,4277
800,7699,4872
800,7842,4947
800,7567,4742
800,7812,5008
800,7840,4900
800,7529,4711
800,7627,4870
800,6475,4104
800,7662,4890
800,6410,4095
800,7528,4749
800,7366,4645
800,7014,4460
800,7793,4931
800,7124,4520
800,6640,4210
800,7399,4674
800,7487,4664
800,7066,4450
800,7487,4775
800,7764,4950
800,7509,4761
800,7700,4896
800,7797,4955
800,7591,4875
800,7478,4706
800,7554,4733
800,7188,4498
800,7711,4914
800,7840,4942
800,7595,4793
800,7749,4933
800,7550,4806
800,7978,5051
800,7630,4882
800,7073,4475
800,7600,4848
800,7494,4648
800,6472,4162
800,7979,5106
800,7710,4915
800,7155,4501
800,7598,4772
800,7742,4925
800,6981,4367
800,7796,4993
800,7405,4753
800,6995,4384
800,7645,4844
800,8073,5126
800,7513,4782
800,7519,4755
800,7088,4510
800,7374,4611
800,7556,4752
800,7683,4876
800,7494,4733
800,7837,5022
800,6433,4071
800,7478,4737
800,7990,5051
800,6431,4070
800,7392,4709
800,7371,4658
800,7276,4570
800,6451,4109
800,7837,4976
800,7601,4832
800,6886,4355
800,7565,4830
800,7723,4911
800,7609,4843
800,7752,4886
800,6396,4048
800,7686,4886
800,7453,4715
800,6981,4451
800,7729,4877
800,7610,4743
800,7504,4723
800,7583,4760
800,7685,4820
800,7231,4617
800,7765,4956
800,7161,4532
800,7297,4668
800,7125,4495
800,6633,4232
800,7643,4825
800,7829,5039
800,7485,4702
800,7529,4757
800,7563,4865
800,7431,4762
800,7576,4799
800,7774,4904
800,7716,4913
800,7679,4882
800,7636,4834
900,8735,5512
900,8715,5550
900,8553,5391
900,8421,5340
900,8425,5344
900,9029,5726
900,7759,4884
900,8319,5239
900,8900,5536
900,8885,5635
900,8687,5470
900,8157,5173
900,8818,5640
900,8715,5540
900,8573,5421
900,8589,5509
900,7253,4559
900,8357,5214
900,8657,5559
900,8296,5277
900,7638,4842
900,8365,5205
900,8547,5434
900,8397,5392
900,8658,5542
900,8957,5650
900,6768,4359
900,8435,5366
900,8702,5463
900,7377,4675
900,8159,5215
900,8750,5560
900,8659,5539
900,8742,5552
900,8688,5590
900,8100,5058
900,7114,4523
900,8605,5439
900,8181,5247
900,8648,5453
900,8639,5464
900,8637,5515
900,7040,4455
900,8578,5401
900,8248,5217
900,8212,5189
900,8319,5265
900,8056,5131
900,8037,5060
900,8550,5428
900,8674,5513
900,8508,5382
900,8711,5500
900,8704,5552
900,8159,5158
900,8563,5441
900,8241,5226
900,8224,5234
900,8641,5488
900,8472,5365
900,8618,5518
900,8659,5482
900,7638,4825
900,8455,5403
900,8536,5461
900,8678,5471
900,8453,5330
900,7856,4918
900,8523,5427
900,8396,5340
900,7606,4887
900,8755,5575
900,8278,5217
900,8211,5205
900,8312,5299
900,8820,5586
900,8757,5574
900,8319,5267
900,8328,5297
900,7523,4768
900,7562,4791
900,8167,5210
900,8086,5199
900,8786,5552
900,8508,5381
900,8281,5249
900,8695,5552
900,8666,5566
900,6952,4450
900,8551,5458
900,8296,5312
900,8615,5506
900,7461,4711
900,8735,5526
900,8531,5445
900,8605,5469
900,8448,5431
900,8541,5460
900,8328,5275
900,8836,5659
1000,9699,6186
1000,8829,5584
1000,9912,6254
1000,9985,6295
1000,9396,5894
1000,9610,5992
1000,8758,5517
1000,9645,6075
1000,9323,5906
1000,9271,5892
1000,9960,6258
1000,9280,5826
1000,9080,5733
1000,9755,6116
1000,9603,6116
1000,9955,6374
1000,9675,6155
1000,9802,6277
1000,9518,6030
1000,9931,6264
1000,9514,6017
1000,9839,6229
1000,9561,6023
1000,9595,6071
1000,9757,6212
1000,10116,6366
1000,9649,6138
1000,7363,4678
1000,10068,6391
1000,9666,6071
1000,9290,5900
1000,8792,5543
1000,8704,5512
1000,9075,5746
1000,9212,5890
1000,10059,6362
1000,8964,5627
1000,9478,6032
1000,10048,6321
1000,9786,6267
1000,9635,6047
1000,9660,6104
1000,9174,5803
1000,9732,6169
1000,9670,6116
1000,9010,5775
1000,9606,6073
1000,9826,6200
1000,8702,5533
1000,8980,5662
1000,9438,6011
1000,9307,5893
1000,9941,6281
1000,9284,5859
1000,9634,6063
1000,9626,6155
1000,9625,6141
1000,9617,6094
1000,9090,5755
1000,9577,6047
1000,9681,6099
1000,9502,5995
1000,8106,5121
1000,10062,6488
1000,9863,6226
1000,9586,6093
1000,9888,6327
1000,9778,6200
1000,9491,5953
1000,9619,6106
1000,9442,5998
1000,9816,6244
1000,9517,6010
1000,9550,6048
1000,9450,5990
1000,8949,5699
1000,9599,5976
1000,9641,6006
1000,9117,5835
1000,10080,6373
1000,9605,6092
1000,9995,6384
1000,8956,5657
1000,9566,6136
1000,10201,6528
1000,9133,5758
1000,9545,6098
1000,9057,5806
1000,8987,5733
1000,9948,6286
1000,9733,6227
1000,9033,5770
1000,9108,5815
1000,9458,6001
1000,9347,5984
1000,9114,5790
1000,9718,6157
1000,9329,5968
1000,9692,6112
1000,8149,5212
1100,10521,6747
1100,10769,6808
1100,10770,6797
1100,10655,6761
1100,10801,6795
1100,9737,6081
1100,10752,6868
1100,11006,7021
1100,10333,6546
1100,10772,6767
1100,10860,6945
1100,10861,6896
1100,11129,7076
1100,10982,6992
1100,10938,6866
1100,10096,6344
1100,10958,6916
1100,10969,6980
1100,10108,6344
1100,10655,6740
1100,10626,6780
1100,9559,6095
1100,10478,6606
1100,10179,6409
1100,10035,6296
1100,10224,6512
1100,9931,6343
1100,10386,6595
1100,10768,6814
1100,10182,6422
1100,10396,6526
1100,10803,6868
1100,10569,6687
1100,11114,7074
1100,10574,6681
1100,10642,6781
1100,10701,6751
1100,10413,6551
1100,10799,6830
1100,10939,6884
1100,10702,6847
1100,10740,6754
1100,10233,6457
1100,10503,6727
1100,10442,6665
1100,10401,6630
1100,10628,6705
1100,10534,6753
1100,10622,6773
1100,10283,6495
1100,11061,7045
1100,10361,6633
1100,10990,6968
1100,9006,5708
1100,9403,5954
1100,10877,6887
1100,10594,6682
1100,10854,6866
1100,10157,6431
1100,10472,6701
1100,10432,6556
1100,10942,6884
1100,10267,6531
1100,10453,6640
1100,10487,6619
1100,10592,6766
1100,10743,6846
1100,10266,6516
1100,10540,6680
1100,10825,6892
1100,10121,6432
1100,10493,6657
1100,10644,6732
1100,10089,6417
1100,10507,6764
1100,9817,6250
1100,10448,6672
1100,10744,6745
1100,11125,7115
1100,11295,7201
1100,10517,6659
1100,10710,6825
1100,10355,6654
1100,10129,6405
1100,10692,6740
1100,11032,7036
1100,10741,6823
1100,9987,6390
1100,10530,6643
1100,8952,5720
1100,10743,6813
1100,10712,6848
1100,10755,6788
1100,11196,7130
1100,10580,6758
1100,11409,7301
1100,10270,6519
1100,11187,7143
1100,9957,6359
1100,9940,6290
1200,11362,7169
1200,10445,6589
1200,9241,5912
1200,11588,7318
1200,11481,7211
1200,11793,7480
1200,11954,7588
1200,11896,7504
1200,11339,7163
1200,11963,7539
1200,11865,7589
1200,10572,6643
1200,11293,7111
1200,11670,7412
1200,10186,6473
1200,11874,7558
1200,11185,7066
1200,10333,6523
1200,11801,7476
1200,11607,7312
1200,10151,6452
1200,11964,7627
1200,11082,6983
1200,11369,7184
1200,11833,7577
1200,11701,7382
1200,11647,7399
1200,11754,7496
1200,11598,7320
1200,10877,6947
1200,11650,7475
1200,11610,7401
1200,11635,7414
1200,11851,7542
1200,11912,7515
1200,11487,7263
1200,11836,7467
1200,11488,7288
1200,11606,7313
1200,11278,7150
1200,11657,7421
1200,11788,7495
1200,10082,6442
1200,12171,7778
1200,11656,7414
1200,9724,6221
1200,9749,6207
1200,11987,7615
1200,10687,6920
1200,10378,6612
1200,11219,7159
1200,10163,6450
1200,11674,7418
1200,11736,7532
1200,11739,7476
1200,11667,7457
1200,11556,7306
1200,11068,6982
1200,11734,7413
1200,10930,6927
1200,11673,7264
1200,11656,7433
1200,11603,7398
1200,11993,7624
1200,11925,7507
1200,12087,7653
1200,12030,7683
1200,11003,7015
1200,11429,7237
1200,11591,7260
1200,11376,7243
1200,11613,7419
1200,9346,6010
1200,11515,7293
1200,11574,7336
1200,11641,7449
1200,11364,7317
1200,11010,6986
1200,11838,7585
1200,11759,7401
1200,11554,7251
1200,11603,7382
1200,11799,7470
1200,11734,7471
1200,11764,7516
1200,11508,7324
1200,11971,7531
1200,11666,7369
1200,11756,7382
1200,11715,7386
1200,11905,7606
1200,9863,6313
1200,11756,7611
1200,10259,6538
1200,11663,7363
1200,11520,7356
1200,11370,7298
1200,11279,7185
1200,11112,7081
1300,13148,8235
1300,12312,7827
1300,12440,7937
1300,12984,8248
1300,12746,8010
1300,12500,7960
1300,12873,8147
1300,12756,8121
1300,13290,8403
1300,13058,8196
1300,12579,7861
1300,13090,8260
1300,12936,8145
1300,12867,8117
1300,12490,7927
1300,11807,7507
1300,12344,7822
1300,12587,8034
1300,12907,8195
1300,13164,8369
1300,12968,8159
1300,12282,7739
1300,12866,8104
1300,12644,7990
1300,13210,8467
1300,12369,7849
1300,9787,6255
1300,12711,8147
1300,11828,7492
1300,12675,8104
1300,12786,8201
1300,13095,8334
1300,12740,8153
1300,12467,7949
1300,12862,8132
1300,12820,8072
1300,12337,7859
1300,12349,7846
1300,12778,8035
1300,11205,7051
1300,10813,6957
1300,12904,8194
1300,11788,7445
1300,12918,8233
1300,10199,6506
1300,12957,8168
1300,12820,8236
1300,12391,7874
1300,12289,7770
1300,12787,8139
1300,12868,8245
1300,12661,8019
1300,12851,8209
1300,12905,8115
1300,13377,8428
1300,12676,8037
1300,13265,8423
1300,12210,7732
1300,13053,8263
1300,12878,8180
1300,12774,8172
1300,12322,7829
1300,11155,7133
1300,10881,6950
1300,12964,8319
1300,12548,7993
1300,12602,8030
1300,12526,7926
1300,12419,7829
1300,12532,7980
1300,13226,8404
1300,12775,8152
1300,12218,7780
1300,12763,7946
1300,12813,8181
1300,11034,6987
1300,9960,6344
1300,13109,8297
1300,12714,8129
1300,12199,7772
1300,12257,7788
1300,12728,8171
1300,12513,7953
1300,13072,8168
1300,10512,6696
1300,12327,7839
1300,12793,8145
1300,12766,8167
1300,12397,7905
1300,12235,7865
1300,12623,7982
1300,11101,7093
1300,12976,8265
1300,12785,8067
1300,12711,8007
1300,12048,7658
1300,12420,7882
1300,12839,8195
1300,13199,8419
1300,12463,7985
1400,13359,8451
1400,13744,8672
1400,14009,8910
1400,13708,8788
1400,12873,8249
1400,13717,8723
1400,13731,8674
1400,13454,8564
1400,13023,8276
1400,11448,7304
1400,13906,8873
1400,13736,8707
1400,13860,8751
1400,13687,8719
1400,13762,8712
1400,12478,7996
1400,14022,8875
1400,13808,8719
1400,13945,8829
1400,13790,8708
1400,13994,8950
1400,13738,8612
1400,13971,8807
1400,13814,8765
1400,13750,8769
1400,13903,8791
1400,13974,8864
1400,13523,8589
1400,11861,7522
1400,14193,8900
1400,12551,7993
1400,13750,8751
1400,14162,9025
1400,13655,8646
1400,13749,8757
1400,11808,7505
1400,13688,8774
1400,14010,8910
1400,13807,8799
1400,13912,8800
1400,13859,8870
1400,13838,8857
1400,13962,8783
1400,13671,8725
1400,12915,8190
1400,13530,8572
1400,13789,8831
1400,14280,9072
1400,13699,8674
1400,13014,8234
1400,13612,8669
1400,13220,8418
1400,13712,8743
1400,13671,8787
1400,13531,8612
1400,12763,8164
1400,14118,9048
1400,13713,8780
1400,13833,8760
1400,13340,8529
1400,13683,8594
1400,13523,8553
1400,13796,8829
1400,14368,9256
1400,12096,7632
1400,13684,8707
