array_size,comparisons,swaps
100,706,509
100,713,512
100,682,485
100,781,552
100,630,439
100,710,511
100,721,526
100,627,437
100,660,457
100,748,516
100,670,474
100,796,557
100,730,508
100,702,494
100,628,444
100,787,549
100,735,513
100,594,423
100,765,555
100,707,507
100,765,550
100,735,522
100,674,447
100,774,541
100,662,480
100,575,419
100,597,430
100,706,522
100,741,526
100,635,457
100,750,522
100,710,496
100,683,485
100,725,507
100,657,481
100,635,446
100,677,469
100,777,553
100,724,508
100,594,424
100,694,509
100,703,510
100,768,531
100,656,463
100,759,537
100,657,478
100,657,455
100,626,457
100,671,474
100,655,454
100,656,470
100,389,287
100,713,506
100,689,495
100,687,493
100,711,514
100,408,290
100,692,513
100,676,492
100,592,411
100,673,492
100,727,520
100,697,499
100,663,481
100,686,480
100,666,478
100,703,510
100,618,443
100,582,408
100,688,489
100,686,488
100,764,545
100,650,453
100,632,446
100,616,435
100,716,503
100,687,487
100,684,498
100,618,433
100,697,495
100,654,461
100,712,519
100,601,435
100,602,435
100,631,459
100,684,477
100,622,440
100,607,435
100,592,430
100,649,462
100,653,475
100,668,489
100,620,443
100,662,468
100,610,435
100,639,466
100,576,413
100,647,465
100,629,446
100,594,428
200,1488,1069
200,1627,1155
200,1624,1148
200,1518,1090
200,1389,983
200,1592,1129
200,1477,1011
200,1485,1054
200,1501,1049
200,1618,1146
200,1505,1082
200,1456,1061
200,1536,1099
200,1516,1072
200,1477,1045
200,1672,1199
200,1376,960
200,1436,1004
200,1413,1016
200,1581,1117
200,1531,1087
200,1501,1054
200,1475,1080
200,1560,1124
200,1551,1102
200,1458,1025
200,1560,1145
200,1578,1104
200,1469,1067
200,1184,827
200,1292,935
200,1512,1079
200,1409,1005
200,1310,920
200,1477,1069
200,1460,1029
200,1507,1074
200,1494,1062
200,1559,1123
200,1476,1040
200,1438,1009
200,1486,1101
200,1661,1202
200,1341,970
200,1359,959
200,1444,1022
200,1556,1119
200,1512,1073
200,1612,1145
200,1359,974
200,1464,1051
200,797,580
200,1484,1080
200,1608,1141
200,1568,1135
200,1458,1066
200,1444,1025
200,1569,1108
200,1460,1056
200,1462,1053
200,1534,1084
200,1470,1059
200,1429,983
200,1379,956
200,1450,1067
200,1443,1048
200,1421,1018
200,1502,1090
200,1482,1058
200,1410,988
200,1397,995
200,1379,975
200,1460,1032
200,1570,1141
200,1501,1073
200,1408,1020
200,1377,976
200,1525,1086
200,1524,1086
200,1573,1120
200,1453,1029
200,1458,1035
200,1658,1202
200,1360,970
200,1506,1078
200,1494,1083
200,1451,1041
200,1448,1025
200,1467,1039
200,1509,1085
200,1384,994
200,1495,1087
200,1471,1050
200,1471,1060
200,1368,964
200,1215,867
200,1457,1028
200,1257,866
