array_size,comparisons,swaps
100,741,584
100,806,647
100,719,563
100,769,603
100,764,596
100,755,610
100,793,630
100,772,608
100,796,640
100,813,651
100,786,616
100,805,627
100,844,667
100,730,552
100,710,559
100,824,652
100,790,622
100,746,586
100,791,635
100,814,653
100,790,631
100,765,601
100,798,637
100,780,609
100,811,633
100,781,618
100,777,614
100,876,708
100,852,680
100,763,606
100,710,560
100,597,462
100,792,628
100,748,581
100,844,660
100,757,586
100,813,632
100,761,596
100,829,652
100,768,597
100,720,570
100,753,608
100,828,655
100,738,573
100,772,600
100,745,582
100,784,616
100,776,618
100,849,677
100,731,567
100,790,624
100,777,614
100,819,659
100,419,331
100,768,604
100,763,598
100,726,561
100,746,600
100,770,608
100,701,558
100,751,589
100,783,603
100,766,613
100,679,535
100,801,636
100,798,633
100,758,605
100,806,642
100,824,646
100,755,601
100,742,588
100,804,647
100,748,589
100,786,622
100,795,628
100,789,615
100,788,617
100,786,617
100,657,522
100,580,454
100,646,512
100,715,548
100,786,623
100,781,634
100,859,686
100,780,624
100,798,616
100,790,629
100,727,579
100,662,524
100,804,640
100,829,648
100,736,587
100,684,541
100,823,657
100,821,661
100,781,628
100,716,562
100,741,589
100,770,615
200,1736,1371
200,1696,1342
200,1603,1250
200,1702,1358
200,1682,1317
200,1581,1241
200,1630,1272
200,1646,1298
200,1630,1284
200,1619,1275
200,1638,1287
200,1620,1282
200,1524,1199
200,1685,1332
200,1721,1352
200,1762,1387
200,1790,1419
200,1698,1338
200,1693,1336
200,1642,1286
200,1723,1374
200,1569,1243
200,1700,1356
200,1685,1342
200,1700,1331
200,1569,1227
200,1787,1387
200,1645,1295
200,1519,1196
200,1657,1302
200,1361,1082
200,1579,1246
200,1755,1393
200,1677,1322
200,1535,1219
200,1630,1287
200,1626,1300
200,1678,1328
200,1590,1237
200,1605,1270
200,1737,1363
200,1733,1384
200,1658,1311
200,1587,1267
200,1643,1301
200,1565,1231
200,1747,1402
200,1620,1277
200,1680,1323
200,1622,1262
200,1597,1264
200,1712,1385
200,1607,1272
200,1764,1400
200,1706,1360
200,1719,1372
200,1664,1324
200,1640,1299
200,1670,1337
200,1672,1339
200,1718,1354
200,1665,1337
200,1620,1301
200,1676,1321
200,1865,1497
200,1750,1393
200,1736,1388
200,1851,1473
200,1628,1274
200,1605,1280
200,1627,1267
200,1612,1262
200,1655,1305
200,1683,1333
200,1542,1211
200,1691,1356
200,1651,1329
200,1335,1065
200,1649,1294
200,1469,1145
200,1717,1365
200,1574,1263
200,1537,1212
200,1709,1362
200,1482,1161
200,1635,1293
200,1586,1255
200,1580,1258
200,1678,1344
200,1516,1204
200,1755,1382
200,1656,1309
200,1673,1326
200,1524,1204
200,1656,1326
200,1663,1344
200,1715,1348
200,1620,1279
200,1577,1258
200,1678,1333
300,2448,1907
300,2405,1884
300,2537,1987
300,2475,1966
300,2543,1998
300,2418,1932
300,2453,1959
300,2616,2096
300,2645,2053
300,2511,2017
300,2561,2047
300,2551,2033
300,2438,1922
300,2695,2133
300,2645,2106
300,2571,2058
300,2739,2181
300,2447,1936
300,2572,2001
300,2607,2055
300,2654,2090
300,2588,2035
300,2397,1889
300,2773,2225
300,2426,1923
300,2689,2159
300,2677,2137
300,2576,2032
300,2640,2109
300,2588,2057
300,2661,2137
300,2710,2151
300,2676,2141
300,2555,2049
300,2495,1962
300,2489,1958
300,2446,1945
300,2565,2055
300,2656,2168
300,2533,2008
