array_size,comparisons,swaps
500,2307,270
500,1235,234
500,1606,301
500,1478,263
500,960,230
500,1621,320
500,1696,282
500,1028,247
500,1188,281
500,878,177
500,1154,238
500,2029,269
500,1118,261
500,1590,298
500,2119,346
500,1226,263
500,1254,260
500,2021,345
500,2049,366
500,1413,279
500,1001,234
500,1490,232
500,1537,272
500,1865,316
500,1619,243
500,2201,292
500,1669,285
500,1065,180
500,1229,212
500,1929,291
500,1296,272
500,1062,227
500,1036,260
500,1237,233
500,2060,335
500,1591,231
500,2206,329
500,962,229
500,1326,202
500,1444,274
500,1488,239
500,896,201
500,1729,225
500,990,172
500,1100,196
500,781,131
500,1067,196
500,1291,108
500,1392,281
500,1327,162
500,1703,292
500,1201,246
500,876,121
500,971,223
500,905,204
500,1120,178
500,724,109
600,1755,217
600,631,24
600,1777,349
600,2424,387
600,943,144
600,1071,234
600,1089,222
600,1800,324
600,1396,123
600,1100,181
600,1273,140
600,1331,262
600,2123,370
600,1195,259
600,956,191
600,1891,312
600,1283,141
600,1464,210
600,1521,282
600,1309,254
600,1716,338
600,1424,161
600,1732,297
600,1789,185
600,1420,291
600,2020,339
600,2128,316
600,1750,367
600,2620,402
600,994,193
600,1540,262
600,2535,382
600,2522,363
600,1335,267
600,1507,318
600,2117,413
600,1184,295
600,2162,368
600,1875,381
600,1632,315
600,1873,315
600,2177,307
600,1319,283
600,3244,397
600,2468,330
600,3015,416
600,1413,296
600,2116,314
600,2019,328
600,2055,396
600,1108,273
600,2730,404
600,903,161
600,3788,470
600,1583,269
600,2338,400
600,1961,272
600,2000,311
600,2382,370
600,3220,440
600,1374,263
600,1147,197
600,3499,453
600,1098,255
600,1051,233
600,1951,355
600,2253,378
600,2566,359
600,2366,310
600,2304,382
600,1122,249
600,2048,378
600,2032,381
600,1273,309
600,1548,320
600,1250,304
600,1931,373
600,2121,304
600,1706,342
600,2433,424
600,1685,310
600,951,153
600,962,148
600,1616,332
600,1862,316
600,1483,301
600,1626,251
600,1179,259
600,1154,222
600,1493,262
600,1578,337
600,3210,328
600,1184,295
600,1396,191
600,1676,202
600,1390,233
600,717,61
600,1195,217
600,997,222
600,1166,269
700,952,148
700,1002,202
700,2528,417
700,1416,156
700,1642,202
700,2326,424
700,1406,289
700,1458,294
700,1628,333
700,1570,121
700,888,87
700,1811,408
700,1817,389
700,1804,309
700,2658,376
700,2262,402
700,1075,213
700,1812,343
700,1179,218
700,1662,179
700,1413,265
700,1024,175
700,1478,297
700,1458,336
700,2122,342
700,3096,491
700,2879,424
700,2175,422
700,2354,446
700,2673,360
700,3638,440
700,3826,501
700,1336,305
700,1758,372
700,2438,438
700,2402,379
700,2860,397
700,2025,307
700,2531,306
700,2297,445
700,2753,482
700,2125,325
700,1677,375
700,3497,419
700,3078,440
700,1304,267
700,1900,374
700,1757,396
700,1839,367
700,3206,479
700,1128,198
700,2815,463
700,1918,344
700,2434,413
700,2497,370
700,3051,455
700,2485,337
700,1636,370
700,1473,348
700,3468,395
700,2398,426
700,1902,384
700,1961,409
700,2376,395
700,2199,454
700,2350,432
700,2253,400
700,1767,406
700,2407,383
700,2185,433
700,1504,211
700,1782,329
700,1844,429
700,2041,377
700,2074,427
700,1357,311
700,1763,337
700,1487,312
700,1568,302
700,1675,361
700,1667,324
700,2423,354
700,1359,310
700,1843,395
700,2121,350
700,1854,396
700,1321,302
700,1356,258
700,1519,299
700,1807,392
700,2032,415
700,1474,353
700,2281,396
700,1296,275
700,1723,149
700,1437,256
700,1130,256
700,1387,262
700,1706,340
700,1120,181
800,1434,296
800,1242,265
800,1816,326
800,2052,424
800,932,60
800,1561,243
800,1853,313
800,1882,398
800,2619,493
800,1978,150
800,2960,389
800,1328,220
800,2494,428
800,3187,431
800,2510,496
800,1914,406
800,1539,265
800,2497,382
800,4721,446
800,3004,420
800,2300,459
800,2516,388
800,2263,355
800,3570,494
800,1958,303
800,2992,442
800,1810,402
800,3163,493
800,2243,472
800,3630,517
800,1970,376
800,1732,366
800,2757,365
800,1803,343
800,2676,436
800,3566,428
800,2572,450
800,2231,470
800,3011,516
800,1597,375
800,3030,420
800,3876,550
800,1911,427
800,2073,463
800,3500,571
800,2662,489
800,1749,324
800,2032,448
800,2013,459
800,2270,475
800,2652,478
800,3248,553
800,2348,375
800,3576,596
800,2827,514
800,2910,436
800,2981,370
800,3033,492
800,2025,387
800,3804,421
800,3041,414
800,2765,490
800,3403,485
800,2834,446
800,2270,431
800,3036,527
800,2122,486
800,1557,319
800,2575,462
800,2644,480
800,2250,493
800,2614,496
800,2721,456
800,1846,358
800,2115,408
800,1884,388
800,1476,288
800,2885,331
800,1647,242
800,2030,308
800,2662,462
800,2083,266
800,1962,328
800,1877,195
800,3013,497
800,1865,374
800,1145,178
800,2283,402
800,2912,464
800,1781,333
800,3528,443
800,2110,362
800,2255,440
800,1296,166
800,2833,464
800,1756,278
800,1002,103
800,2774,466
800,1677,311
800,1541,296
900,2739,520
900,3700,314
900,2118,429
900,1958,316
900,2557,497
900,2415,491
900,2857,559
900,1549,280
900,3253,361
900,2479,448
900,2509,505
900,2909,498
900,3147,437
900,1656,424
900,1315,248
900,2039,432
900,2111,315
900,1970,222
900,3184,379
900,2170,456
900,3143,521
900,902,152
900,3469,570
900,2114,435
900,2589,442
900,2263,405
900,2991,475
900,1902,326
900,2999,334
900,2518,489
900,1912,366
900,1849,377
900,2256,353
900,2574,518
900,2750,463
900,3034,550
900,1889,351
900,4179,490
900,3179,579
900,2895,504
900,1470,338
900,4659,524
900,1973,422
900,2302,370
900,2753,550
900,2220,375
900,2347,535
900,2925,587
900,2365,522
900,1864,406
900,2929,552
900,3679,606
900,3637,494
900,2464,465
900,3621,551
900,3036,562
900,3755,556
900,2652,486
900,2607,536
900,3219,475
900,3099,452
900,4058,579
900,2686,502
900,1514,349
900,2199,388
900,1754,375
900,1940,428
900,1843,424
900,4177,511
900,2648,493
900,2522,491
900,1751,280
900,1640,329
900,4550,545
900,2017,348
900,2918,425
900,2152,446
900,3496,416
900,2867,484
900,2752,402
900,2557,511
900,3681,344
900,1692,292
900,1203,144
900,2813,514
900,1894,420
900,2155,492
900,2177,464
900,2119,291
900,1102,132
900,2605,332
900,1949,244
900,2289,442
900,2453,409
900,2036,382
900,1692,364
900,2515,538
900,1614,278
900,2857,521
900,2121,492
1000,2658,493
1000,1299,145
1000,3008,344
1000,2064,490
1000,2253,467
1000,1773,329
1000,1422,286
1000,3025,511
1000,2073,355
1000,3262,610
1000,2139,420
1000,3574,533
1000,1989,448
1000,2336,464
1000,3076,472
1000,2782,521
1000,3021,443
1000,2585,565
1000,4619,619
1000,3274,597
1000,2114,196
1000,3578,537
1000,2830,473
1000,2946,540
1000,2040,478
1000,2309,428
1000,1736,364
1000,2984,543
1000,5745,584
1000,2355,420
1000,3463,578
1000,1610,359
1000,3499,574
1000,2064,419
1000,2490,487
1000,5919,673
1000,3224,579
1000,3014,571
1000,4307,693
1000,4265,639
1000,2483,589
1000,3371,652
1000,2781,528
1000,3089,495
1000,5089,711
1000,3435,551
1000,3830,521
1000,2550,493
1000,4504,624
1000,2861,572
1000,3005,562
1000,3551,416
1000,3769,730
1000,3975,613
1000,3363,561
1000,3409,512
1000,3644,498
1000,3968,599
1000,2591,534
1000,1897,406
1000,2589,550
1000,4066,549
1000,3037,608
1000,2717,567
1000,1810,357
1000,2763,567
1000,4610,644
1000,4619,635
1000,2393,459
1000,2686,562
1000,2011,422
1000,5009,682
1000,2106,417
1000,3065,482
1000,4644,562
1000,5013,724
1000,4035,666
1000,3204,614
1000,2947,576
1000,2555,434
1000,2201,466
1000,3257,594
1000,4319,629
1000,3788,381
1000,2215,499
1000,3112,598
1000,3579,610
1000,3446,585
1000,3418,587
1000,3269,494
1000,1363,298
1000,3276,461
1000,1384,189
1000,1578,258
1000,2885,568
1000,2055,399
1000,3182,533
1000,1856,292
1000,3040,315
1000,1214,123
1100,2569,505
1100,2303,471
1100,2468,467
1100,3454,601
1100,3082,616
1100,1724,241
1100,1838,312
1100,2563,434
1100,4762,782
1100,1849,284
1100,3967,501
1100,4765,658
1100,1283,151
1100,1635,293
1100,2796,533
1100,5978,688
1100,2396,530
1100,4405,703
1100,3208,591
1100,3907,729
1100,5379,868
1100,3743,559
1100,4077,658
1100,1550,306
1100,3640,442
1100,2387,571
1100,3052,623
1100,3424,554
1100,4388,791
1100,4531,736
1100,6251,814
1100,2777,557
1100,4180,676
1100,3277,478
1100,3026,606
1100,2292,548
1100,3210,592
1100,2744,488
1100,2679,544
1100,3497,621
1100,5903,828
1100,4738,648
1100,5749,771
1100,3834,602
1100,2641,506
1100,2067,449
1100,3104,597
1100,3387,547
1100,4656,627
1100,1960,454
1100,2319,532
1100,4257,703
1100,3907,724
1100,2280,478
1100,3184,546
1100,5047,805
1100,3154,607
1100,2870,595
1100,3355,635
1100,3096,610
1100,5417,787
1100,3928,708
1100,3880,679
1100,4832,751
1100,2523,555
1100,2739,559
1100,3632,551
1100,2478,515
1100,3022,616
1100,2874,619
1100,4591,703
1100,2836,622
1100,2915,522
1100,3658,701
1100,5814,457
1100,3000,656
1100,2885,661
1100,3254,595
1100,1894,332
1100,2334,569
1100,2720,413
1100,3000,648
1100,3127,449
1100,3076,551
1100,2070,416
1100,2565,541
1100,3632,602
1100,4732,738
1100,2350,455
1100,3247,537
1100,5044,726
1100,4071,416
1100,2144,519
1100,2730,504
